Circle 1: x=808, y=277, r=34;
Circle 100: x=825, y=748, r=14;
Circle 101: x=611, y=243, r=42;
Circle 102: x=157, y=986, r=15;
Circle 103: x=704, y=373, r=15;
Circle 104: x=926, y=142, r=8;
Circle 105: x=707, y=723, r=36;
Circle 106: x=438, y=556, r=12;
Circle 107: x=325, y=757, r=10;
Circle 108: x=789, y=125, r=33;
Circle 109: x=913, y=915, r=27;
Circle 110: x=822, y=330, r=14;
Circle 111: x=826, y=593, r=29;
Circle 112: x=57, y=131, r=8;
Circle 113: x=515, y=578, r=22;
Circle 114: x=577, y=552, r=11;
Circle 115: x=328, y=596, r=27;
Circle 116: x=419, y=896, r=41;
Circle 117: x=126, y=788, r=19;
Circle 118: x=677, y=315, r=34;
Circle 119: x=976, y=977, r=35;
Circle 120: x=919, y=20, r=22;
Circle 121: x=580, y=987, r=9;
Circle 122: x=388, y=847, r=6;
Circle 123: x=885, y=705, r=8;
Circle 124: x=524, y=677, r=50;
Circle 125: x=179, y=140, r=34;
Circle 126: x=70, y=524, r=50;
Circle 127: x=815, y=33, r=49;
Circle 128: x=739, y=303, r=5;
Circle 129: x=226, y=533, r=23;
Circle 130: x=225, y=501, r=14;
Circle 131: x=513, y=518, r=8;
Circle 132: x=258, y=691, r=8;
Circle 133: x=25, y=138, r=46;
Circle 134: x=306, y=98, r=41;
Circle 135: x=93, y=758, r=30;
Circle 136: x=816, y=296, r=47;
Circle 137: x=281, y=510, r=42;
Circle 138: x=495, y=442, r=19;
Circle 139: x=119, y=731, r=15;
Circle 140: x=491, y=791, r=8;
Circle 141: x=774, y=610, r=41;
Circle 142: x=938, y=587, r=32;
Circle 143: x=65, y=931, r=24;
Circle 144: x=421, y=585, r=5;
Circle 145: x=880, y=418, r=29;
Circle 146: x=631, y=218, r=45;
Circle 147: x=813, y=596, r=31;
Circle 148: x=944, y=51, r=42;
Circle 149: x=780, y=121, r=44;
Circle 150: x=545, y=408, r=9;
Circle 151: x=694, y=581, r=11;
Circle 152: x=188, y=826, r=48;
Circle 153: x=314, y=326, r=20;
Circle 154: x=130, y=49, r=37;
Circle 155: x=572, y=811, r=13;
Circle 156: x=324, y=61, r=39;
Circle 157: x=610, y=491, r=40;
Circle 158: x=978, y=3, r=41;
Circle 159: x=336, y=345, r=44;
Circle 160: x=558, y=857, r=21;
Circle 161: x=137, y=601, r=39;
Circle 162: x=311, y=799, r=39;
Circle 163: x=2, y=996, r=6;
Circle 164: x=812, y=324, r=6;
Circle 165: x=384, y=161, r=31;
Circle 166: x=543, y=768, r=10;
Circle 167: x=767, y=30, r=18;
Circle 168: x=568, y=539, r=20;
Circle 169: x=133, y=861, r=26;
Circle 170: x=16, y=0, r=39;
Circle 171: x=141, y=305, r=12;
Circle 172: x=774, y=712, r=23;
Circle 173: x=322, y=36, r=44;
Circle 174: x=706, y=55, r=37;
Circle 175: x=527, y=113, r=6;
Circle 176: x=171, y=599, r=33;
Circle 177: x=529, y=679, r=41;
Circle 178: x=753, y=711, r=19;
Circle 179: x=94, y=164, r=35;
Circle 180: x=598, y=204, r=35;
Circle 181: x=521, y=571, r=34;
Circle 182: x=168, y=109, r=33;
Circle 183: x=616, y=467, r=50;
Circle 184: x=645, y=920, r=26;
Circle 185: x=124, y=14, r=33;
Circle 186: x=215, y=906, r=48;
Circle 187: x=328, y=280, r=29;
Circle 188: x=193, y=141, r=45;
Circle 189: x=830, y=828, r=17;
Circle 190: x=765, y=772, r=41;
Circle 191: x=362, y=557, r=6;
Circle 192: x=18, y=810, r=26;
Circle 193: x=470, y=685, r=27;
Circle 194: x=573, y=388, r=41;
Circle 195: x=321, y=262, r=28;
Circle 196: x=248, y=251, r=20;
Circle 197: x=689, y=486, r=26;
Circle 198: x=684, y=342, r=47;
Circle 199: x=617, y=58, r=43;
Circle 200: x=613, y=113, r=28;
Circle 201: x=447, y=706, r=17;
Circle 202: x=64, y=73, r=34;
Circle 203: x=533, y=722, r=47;
Circle 204: x=444, y=191, r=23;
Circle 205: x=352, y=970, r=21;
Circle 206: x=593, y=695, r=9;
Circle 207: x=160, y=504, r=20;
Circle 208: x=984, y=644, r=34;
Circle 209: x=41, y=941, r=31;
Circle 210: x=708, y=969, r=13;
Circle 211: x=459, y=540, r=6;
Circle 212: x=393, y=127, r=48;
Circle 213: x=115, y=863, r=41;
Circle 214: x=925, y=126, r=22;
Circle 215: x=64, y=27, r=40;
Circle 216: x=185, y=776, r=39;
Circle 217: x=683, y=621, r=34;
Circle 218: x=350, y=680, r=35;
Circle 219: x=456, y=258, r=39;
Circle 220: x=128, y=548, r=28;
Circle 221: x=245, y=978, r=14;
Circle 222: x=655, y=44, r=47;
Circle 223: x=583, y=63, r=9;
Circle 224: x=9, y=871, r=25;
Circle 225: x=842, y=118, r=35;
Circle 226: x=345, y=796, r=6;
Circle 227: x=442, y=56, r=26;
Circle 228: x=732, y=652, r=11;
Circle 229: x=70, y=836, r=39;
Circle 230: x=179, y=763, r=9;
Circle 231: x=912, y=779, r=8;
Circle 232: x=858, y=496, r=50;
Circle 233: x=994, y=858, r=44;
Circle 234: x=337, y=346, r=48;
Circle 235: x=821, y=79, r=16;
Circle 236: x=838, y=365, r=28;
Circle 237: x=961, y=450, r=38;
Circle 238: x=796, y=939, r=47;
Circle 239: x=690, y=336, r=7;
Circle 240: x=654, y=137, r=21;
Circle 241: x=869, y=74, r=40;
Circle 242: x=317, y=965, r=22;
Circle 243: x=974, y=323, r=33;
Circle 244: x=509, y=394, r=28;
Circle 245: x=675, y=46, r=20;
Circle 246: x=241, y=889, r=9;
Circle 247: x=281, y=547, r=43;
Circle 248: x=650, y=211, r=23;
Circle 249: x=76, y=590, r=20;
Circle 250: x=524, y=266, r=49;
Circle 251: x=678, y=358, r=7;
Circle 252: x=916, y=616, r=41;
Circle 253: x=407, y=618, r=32;
Circle 254: x=658, y=812, r=44;
Circle 255: x=956, y=1000, r=12;
Circle 256: x=531, y=238, r=26;
Circle 257: x=622, y=246, r=18;
Circle 258: x=628, y=748, r=41;
Circle 259: x=805, y=636, r=42;
Circle 260: x=301, y=351, r=20;
Circle 261: x=407, y=786, r=30;
Circle 262: x=926, y=560, r=41;
Circle 263: x=76, y=486, r=10;
Circle 264: x=211, y=66, r=31;
Circle 265: x=446, y=771, r=41;
Circle 266: x=876, y=459, r=5;
Circle 267: x=447, y=794, r=14;
Circle 268: x=348, y=812, r=5;
Circle 269: x=811, y=458, r=37;
Circle 270: x=927, y=708, r=17;
Circle 271: x=970, y=151, r=10;
Circle 272: x=329, y=236, r=21;
Circle 273: x=522, y=457, r=40;
Circle 274: x=834, y=74, r=35;
Circle 275: x=83, y=278, r=8;
Circle 276: x=307, y=592, r=20;
Circle 277: x=661, y=743, r=34;
Circle 278: x=632, y=157, r=15;
Circle 279: x=788, y=872, r=20;
Circle 280: x=356, y=318, r=13;
Circle 281: x=861, y=472, r=38;
Circle 282: x=745, y=886, r=19;
Circle 283: x=454, y=664, r=31;
Circle 284: x=709, y=92, r=47;
Circle 285: x=945, y=268, r=34;
Circle 286: x=549, y=279, r=5;
Circle 287: x=138, y=674, r=47;
Circle 288: x=224, y=683, r=35;
Circle 289: x=813, y=723, r=42;
Circle 290: x=745, y=90, r=37;
Circle 291: x=537, y=645, r=7;
Circle 292: x=605, y=219, r=22;
Circle 293: x=87, y=438, r=17;
Circle 294: x=814, y=419, r=9;
Circle 295: x=54, y=263, r=49;
Circle 296: x=959, y=601, r=7;
Circle 297: x=910, y=394, r=47;
Circle 298: x=69, y=241, r=39;
Circle 299: x=928, y=955, r=25;
Circle 300: x=625, y=241, r=41;
Circle 301: x=772, y=959, r=34;
Circle 302: x=709, y=779, r=5;
Circle 303: x=279, y=647, r=19;
Circle 304: x=164, y=495, r=25;
Circle 305: x=156, y=133, r=6;
Circle 306: x=814, y=1000, r=28;
Circle 307: x=330, y=143, r=11;
Circle 308: x=916, y=159, r=23;
Circle 309: x=177, y=600, r=33;
Circle 310: x=225, y=914, r=18;
Circle 311: x=789, y=787, r=33;
Circle 312: x=591, y=949, r=15;
Circle 313: x=172, y=148, r=35;
Circle 314: x=23, y=450, r=24;
Circle 315: x=432, y=35, r=21;
Circle 316: x=43, y=937, r=39;
Circle 317: x=738, y=935, r=24;
Circle 318: x=299, y=724, r=33;
Circle 319: x=449, y=873, r=13;
Circle 320: x=131, y=868, r=47;
Circle 321: x=548, y=747, r=26;
Circle 322: x=185, y=988, r=34;
Circle 323: x=559, y=56, r=20;
Circle 324: x=670, y=798, r=24;
Circle 325: x=603, y=613, r=45;
Circle 326: x=234, y=454, r=39;
Circle 327: x=273, y=492, r=36;
Circle 328: x=634, y=565, r=7;
Circle 329: x=467, y=832, r=18;
Circle 330: x=20, y=587, r=7;
Circle 331: x=855, y=212, r=17;
Circle 332: x=407, y=691, r=26;
Circle 333: x=480, y=366, r=38;
Circle 334: x=5, y=922, r=14;
Circle 335: x=625, y=570, r=11;
Circle 336: x=428, y=449, r=33;
Circle 337: x=37, y=382, r=30;
Circle 338: x=476, y=533, r=32;
Circle 339: x=920, y=861, r=31;
Circle 340: x=878, y=295, r=32;
Circle 341: x=859, y=874, r=41;
Circle 342: x=863, y=7, r=40;
Circle 343: x=563, y=928, r=7;
Circle 344: x=999, y=972, r=29;
Circle 345: x=377, y=777, r=46;
Circle 346: x=169, y=26, r=12;
Circle 347: x=792, y=10, r=8;
Circle 348: x=867, y=885, r=29;
Circle 349: x=567, y=704, r=8;
Circle 350: x=434, y=706, r=8;
Circle 351: x=207, y=725, r=45;
Circle 352: x=653, y=862, r=12;
Circle 353: x=387, y=234, r=18;
Circle 354: x=337, y=880, r=34;
Circle 355: x=63, y=888, r=48;
Circle 356: x=610, y=528, r=40;
Circle 357: x=904, y=651, r=30;
Circle 358: x=816, y=171, r=22;
Circle 359: x=449, y=3, r=23;
Circle 360: x=740, y=148, r=16;
Circle 361: x=103, y=782, r=6;
Circle 362: x=92, y=430, r=44;
Circle 363: x=836, y=77, r=40;
Circle 364: x=247, y=97, r=28;
Circle 365: x=260, y=945, r=17;
Circle 366: x=885, y=160, r=11;
Circle 367: x=754, y=404, r=32;
Circle 368: x=318, y=375, r=46;
Circle 369: x=150, y=830, r=19;
Circle 370: x=143, y=152, r=17;
Circle 371: x=207, y=41, r=19;
Circle 372: x=613, y=271, r=12;
Circle 373: x=327, y=563, r=11;
Circle 374: x=460, y=300, r=27;
Circle 375: x=301, y=41, r=39;
Circle 376: x=697, y=743, r=23;
Circle 377: x=108, y=678, r=44;
Circle 378: x=394, y=596, r=14;
Circle 379: x=164, y=543, r=30;
Circle 380: x=174, y=994, r=11;
Circle 381: x=727, y=681, r=41;
Circle 382: x=1000, y=99, r=5;
Circle 383: x=57, y=2, r=28;
Circle 384: x=527, y=769, r=42;
Circle 385: x=987, y=642, r=8;
Circle 386: x=919, y=41, r=25;
Circle 387: x=891, y=621, r=42;
Circle 388: x=348, y=812, r=12;
Circle 389: x=350, y=454, r=23;
Circle 390: x=241, y=435, r=43;
Circle 391: x=122, y=936, r=31;
Circle 392: x=879, y=952, r=49;
Circle 393: x=617, y=770, r=35;
Circle 394: x=285, y=882, r=27;
Circle 395: x=445, y=151, r=41;
Circle 396: x=730, y=839, r=34;
Circle 397: x=998, y=723, r=15;
Circle 398: x=925, y=887, r=38;
Circle 399: x=83, y=937, r=27;
Circle 400: x=160, y=605, r=15;
Circle 401: x=142, y=351, r=18;
Circle 402: x=459, y=692, r=43;
Circle 403: x=166, y=482, r=13;
Circle 404: x=426, y=705, r=19;
Circle 405: x=682, y=354, r=7;
Circle 406: x=954, y=607, r=7;
Circle 407: x=241, y=385, r=32;
Circle 408: x=116, y=792, r=10;
Circle 409: x=191, y=313, r=15;
Circle 410: x=915, y=860, r=7;
Circle 411: x=554, y=151, r=42;
Circle 412: x=622, y=175, r=35;
Circle 413: x=940, y=619, r=31;
Circle 414: x=213, y=634, r=47;
Circle 415: x=688, y=965, r=9;
Circle 416: x=978, y=172, r=47;
Circle 417: x=304, y=979, r=45;
Circle 418: x=260, y=449, r=46;
Circle 419: x=935, y=256, r=29;
Circle 420: x=978, y=906, r=50;
Circle 421: x=911, y=182, r=11;
Circle 422: x=172, y=610, r=13;
Circle 423: x=206, y=945, r=31;
Circle 424: x=931, y=131, r=8;
Circle 425: x=661, y=753, r=30;
Circle 426: x=447, y=713, r=46;
Circle 427: x=1000, y=793, r=28;
Circle 428: x=103, y=566, r=29;
Circle 429: x=58, y=714, r=25;
Circle 430: x=129, y=553, r=38;
Circle 431: x=780, y=818, r=30;
Circle 432: x=632, y=316, r=32;
Circle 433: x=737, y=779, r=16;
Circle 434: x=430, y=30, r=31;
Circle 435: x=407, y=332, r=32;
Circle 436: x=495, y=569, r=25;
Circle 437: x=765, y=201, r=7;
Circle 438: x=762, y=235, r=25;
Circle 439: x=909, y=608, r=8;
Circle 440: x=224, y=974, r=46;
Circle 441: x=985, y=129, r=32;
Circle 442: x=169, y=484, r=14;
Circle 443: x=633, y=469, r=47;
Circle 444: x=242, y=845, r=50;
Circle 445: x=294, y=862, r=48;
Circle 446: x=92, y=574, r=5;
Circle 447: x=331, y=816, r=44;
Circle 448: x=623, y=544, r=47;
Circle 449: x=518, y=418, r=28;
Circle 450: x=133, y=56, r=44;
Circle 451: x=18, y=816, r=14;
Circle 452: x=308, y=433, r=46;
Circle 453: x=885, y=485, r=7;
Circle 454: x=531, y=887, r=18;
Circle 455: x=717, y=617, r=28;
Circle 456: x=252, y=268, r=26;
Circle 457: x=10, y=850, r=15;
Circle 458: x=405, y=460, r=21;
Circle 459: x=571, y=7, r=22;
Circle 460: x=862, y=399, r=25;
Circle 461: x=990, y=126, r=41;
Circle 462: x=421, y=389, r=34;
Circle 463: x=48, y=855, r=19;
Circle 464: x=230, y=124, r=40;
Circle 465: x=949, y=623, r=49;
Circle 466: x=510, y=138, r=28;
Circle 467: x=302, y=722, r=13;
Circle 468: x=563, y=612, r=17;
Circle 469: x=590, y=76, r=21;
Circle 470: x=95, y=17, r=18;
Circle 471: x=755, y=396, r=18;
Circle 472: x=733, y=851, r=38;
Circle 473: x=557, y=952, r=19;
Circle 474: x=793, y=995, r=21;
Circle 475: x=72, y=836, r=40;
Circle 476: x=915, y=864, r=30;
Circle 477: x=677, y=807, r=28;
Circle 478: x=295, y=366, r=27;
Circle 479: x=802, y=851, r=9;
Circle 480: x=675, y=270, r=28;
Circle 481: x=647, y=14, r=48;
Circle 482: x=275, y=909, r=40;
Circle 483: x=319, y=513, r=44;
Circle 484: x=782, y=931, r=27;
Circle 485: x=513, y=31, r=20;
Circle 486: x=969, y=773, r=38;
Circle 487: x=898, y=130, r=47;
Circle 488: x=476, y=50, r=48;
Circle 489: x=519, y=739, r=21;
Circle 490: x=654, y=103, r=8;
Circle 491: x=63, y=846, r=36;
Circle 492: x=762, y=735, r=33;
Circle 493: x=529, y=467, r=31;
Circle 494: x=6, y=697, r=39;
Circle 495: x=131, y=27, r=26;
Circle 496: x=745, y=346, r=19;
Circle 497: x=662, y=413, r=12;
Circle 498: x=526, y=884, r=9;
Circle 499: x=725, y=204, r=43;
Circle 500: x=596, y=844, r=43;
Circle 501: x=78, y=999, r=46;
Circle 502: x=448, y=900, r=12;
Circle 503: x=955, y=876, r=36;
Circle 504: x=474, y=843, r=18;
Circle 505: x=143, y=172, r=31;
Circle 506: x=64, y=767, r=15;
Circle 507: x=456, y=192, r=46;
Circle 508: x=426, y=990, r=13;
Circle 509: x=661, y=9, r=28;
Circle 510: x=828, y=255, r=28;
Circle 511: x=550, y=174, r=17;
Circle 512: x=124, y=504, r=23;
Circle 513: x=912, y=919, r=24;
Circle 514: x=43, y=636, r=32;
Circle 515: x=547, y=53, r=33;
Circle 516: x=35, y=979, r=40;
Circle 517: x=702, y=884, r=42;
Circle 518: x=941, y=415, r=39;
Circle 519: x=549, y=942, r=13;
Circle 520: x=755, y=968, r=24;
Circle 521: x=864, y=764, r=40;
Circle 522: x=859, y=965, r=44;
Circle 523: x=837, y=546, r=28;
Circle 524: x=803, y=945, r=14;
Circle 525: x=876, y=194, r=22;
Circle 526: x=993, y=209, r=48;
Circle 527: x=733, y=910, r=14;
Circle 528: x=748, y=661, r=41;
Circle 529: x=248, y=130, r=13;
Circle 530: x=317, y=73, r=9;
Circle 531: x=351, y=132, r=15;
Circle 532: x=686, y=510, r=21;
Circle 533: x=862, y=928, r=24;
Circle 534: x=51, y=494, r=42;
Circle 535: x=706, y=305, r=50;
Circle 536: x=814, y=241, r=50;
Circle 537: x=980, y=122, r=5;
Circle 538: x=996, y=589, r=13;
Circle 539: x=629, y=873, r=30;
Circle 540: x=67, y=42, r=38;
Circle 541: x=407, y=946, r=43;
Circle 542: x=89, y=324, r=8;
Circle 543: x=877, y=326, r=29;
Circle 544: x=78, y=950, r=13;
Circle 545: x=67, y=465, r=34;
Circle 546: x=729, y=278, r=6;
Circle 547: x=428, y=93, r=31;
Circle 548: x=709, y=395, r=50;
Circle 549: x=239, y=216, r=17;
Circle 550: x=574, y=904, r=28;
Circle 551: x=544, y=727, r=46;
Circle 552: x=7, y=94, r=14;
Circle 553: x=980, y=242, r=31;
Circle 554: x=75, y=909, r=18;
Circle 555: x=151, y=312, r=5;
Circle 556: x=863, y=962, r=47;
Circle 557: x=286, y=183, r=26;
Circle 558: x=585, y=297, r=46;
Circle 559: x=393, y=399, r=27;
Circle 560: x=605, y=4, r=30;
Circle 561: x=381, y=945, r=9;
Circle 562: x=925, y=239, r=41;
Circle 563: x=724, y=214, r=50;
Circle 564: x=546, y=2, r=11;
Circle 565: x=846, y=976, r=49;
Circle 566: x=850, y=78, r=27;
Circle 567: x=676, y=311, r=18;
Circle 568: x=993, y=23, r=46;
Circle 569: x=224, y=57, r=44;
Circle 570: x=844, y=551, r=26;
Circle 571: x=248, y=796, r=7;
Circle 572: x=963, y=953, r=25;
Circle 573: x=827, y=543, r=6;
Circle 574: x=810, y=619, r=26;
Circle 575: x=552, y=616, r=37;
Circle 576: x=787, y=519, r=28;
Circle 577: x=215, y=74, r=32;
Circle 578: x=2, y=294, r=6;
Circle 579: x=803, y=392, r=18;
Circle 580: x=63, y=630, r=9;
Circle 581: x=539, y=473, r=18;
Circle 582: x=867, y=924, r=22;
Circle 583: x=501, y=377, r=24;
Circle 584: x=664, y=156, r=29;
Circle 585: x=693, y=333, r=19;
Circle 586: x=198, y=861, r=6;
Circle 587: x=893, y=437, r=43;
Circle 588: x=71, y=552, r=43;
Circle 589: x=508, y=15, r=30;
Circle 590: x=437, y=76, r=24;
Circle 591: x=257, y=613, r=19;
Circle 592: x=811, y=865, r=41;
Circle 593: x=483, y=878, r=17;
Circle 594: x=351, y=171, r=9;
Circle 595: x=465, y=926, r=46;
Circle 596: x=676, y=73, r=19;
Circle 597: x=246, y=153, r=40;
Circle 598: x=388, y=287, r=12;
Circle 599: x=489, y=805, r=8;
Circle 600: x=145, y=53, r=28;
Circle 601: x=832, y=638, r=45;
Circle 602: x=100, y=153, r=30;
Circle 603: x=622, y=548, r=7;
Circle 604: x=842, y=750, r=25;
Circle 605: x=527, y=912, r=39;
Circle 606: x=238, y=490, r=10;
Circle 607: x=155, y=93, r=8;
Circle 608: x=504, y=807, r=14;
Circle 609: x=434, y=745, r=50;
Circle 610: x=608, y=469, r=9;
Circle 611: x=802, y=452, r=34;
Circle 612: x=16, y=477, r=38;
Circle 613: x=507, y=465, r=18;
Circle 614: x=703, y=324, r=39;
Circle 615: x=848, y=622, r=18;
Circle 616: x=146, y=699, r=17;
Circle 617: x=835, y=262, r=18;
Circle 618: x=481, y=96, r=42;
Circle 619: x=662, y=855, r=14;
Circle 620: x=394, y=26, r=36;
Circle 621: x=884, y=640, r=13;
Circle 622: x=326, y=146, r=42;
Circle 623: x=740, y=365, r=49;
Circle 624: x=725, y=45, r=15;
Circle 625: x=217, y=960, r=46;
Circle 626: x=798, y=361, r=12;
Circle 627: x=5, y=255, r=6;
Circle 628: x=518, y=568, r=38;
Circle 629: x=559, y=28, r=48;
Circle 630: x=253, y=292, r=36;
Circle 631: x=281, y=95, r=39;
Circle 632: x=884, y=885, r=29;
Circle 633: x=202, y=709, r=11;
Circle 634: x=154, y=735, r=35;
Circle 635: x=580, y=575, r=42;
Circle 636: x=932, y=273, r=36;
Circle 637: x=650, y=485, r=17;
Circle 638: x=208, y=458, r=6;
Circle 639: x=223, y=303, r=12;
Circle 640: x=769, y=70, r=20;
Circle 641: x=775, y=834, r=50;
Circle 642: x=746, y=110, r=24;
Circle 643: x=518, y=991, r=22;
Circle 644: x=761, y=356, r=47;
Circle 645: x=615, y=60, r=47;
Circle 646: x=935, y=407, r=38;
Circle 647: x=241, y=345, r=34;
Circle 648: x=546, y=928, r=11;
Circle 649: x=486, y=762, r=43;
Circle 650: x=49, y=767, r=16;
Circle 651: x=139, y=835, r=44;
Circle 652: x=41, y=822, r=12;
Circle 653: x=981, y=252, r=49;
Circle 654: x=849, y=351, r=28;
Circle 655: x=798, y=745, r=50;
Circle 656: x=625, y=301, r=21;
Circle 657: x=877, y=916, r=8;
Circle 658: x=712, y=325, r=28;
Circle 659: x=739, y=504, r=24;
Circle 660: x=213, y=920, r=20;
Circle 661: x=137, y=326, r=36;
Circle 662: x=985, y=249, r=11;
Circle 663: x=177, y=215, r=19;
Circle 664: x=166, y=394, r=37;
Circle 665: x=61, y=598, r=49;
Circle 666: x=248, y=747, r=33;
Circle 667: x=292, y=257, r=48;
Circle 668: x=274, y=202, r=44;
Circle 669: x=598, y=410, r=15;
Circle 670: x=371, y=622, r=50;
Circle 671: x=732, y=195, r=32;
Circle 672: x=98, y=618, r=5;
Circle 673: x=213, y=964, r=32;
Circle 674: x=47, y=38, r=40;
Circle 675: x=411, y=204, r=46;
Circle 676: x=696, y=530, r=9;
Circle 677: x=644, y=127, r=26;
Circle 678: x=369, y=608, r=22;
Circle 679: x=620, y=429, r=27;
Circle 680: x=30, y=693, r=45;
Circle 681: x=829, y=355, r=23;
Circle 682: x=981, y=994, r=46;
Circle 683: x=370, y=955, r=22;
Circle 684: x=472, y=515, r=39;
Circle 685: x=262, y=508, r=44;
Circle 686: x=967, y=988, r=8;
Circle 687: x=545, y=76, r=18;
Circle 688: x=682, y=144, r=37;
Circle 689: x=778, y=272, r=32;
Circle 690: x=690, y=994, r=8;
Circle 691: x=307, y=330, r=33;
Circle 692: x=827, y=923, r=32;
Circle 693: x=63, y=397, r=47;
Circle 694: x=991, y=14, r=45;
Circle 695: x=356, y=699, r=29;
Circle 696: x=661, y=167, r=39;
Circle 697: x=706, y=273, r=33;
Circle 698: x=225, y=630, r=24;
Circle 699: x=737, y=354, r=35;
Circle 700: x=184, y=114, r=14;
Circle 701: x=938, y=753, r=24;
Circle 702: x=102, y=396, r=28;
Circle 703: x=407, y=563, r=27;
Circle 704: x=781, y=732, r=31;
Circle 705: x=861, y=749, r=9;
Circle 706: x=983, y=58, r=26;
Circle 707: x=442, y=897, r=42;
Circle 708: x=398, y=215, r=25;
Circle 709: x=952, y=892, r=7;
Circle 710: x=20, y=917, r=23;
Circle 711: x=681, y=400, r=39;
Circle 712: x=46, y=662, r=46;
Circle 713: x=371, y=581, r=12;
Circle 714: x=986, y=84, r=9;
Circle 715: x=818, y=459, r=20;
Circle 716: x=280, y=684, r=15;
Circle 717: x=743, y=869, r=13;
Circle 718: x=121, y=106, r=35;
Circle 719: x=256, y=509, r=31;
Circle 720: x=483, y=353, r=13;
Circle 721: x=199, y=1, r=14;
Circle 722: x=724, y=673, r=15;
Circle 723: x=498, y=155, r=41;
Circle 724: x=530, y=887, r=49;
Circle 725: x=427, y=689, r=9;
Circle 726: x=605, y=922, r=39;
Circle 727: x=246, y=183, r=13;
Circle 728: x=710, y=929, r=47;
Circle 729: x=940, y=643, r=42;
Circle 730: x=238, y=526, r=11;
Circle 731: x=572, y=55, r=17;
Circle 732: x=601, y=250, r=8;
Circle 733: x=545, y=836, r=17;
Circle 734: x=911, y=849, r=35;
Circle 735: x=673, y=814, r=17;
