Circle 1: x=49, y=194, r=31;
Circle 285: x=967, y=892, r=45;
Circle 286: x=538, y=172, r=16;
Circle 287: x=513, y=648, r=39;
Circle 288: x=838, y=623, r=19;
Circle 289: x=353, y=481, r=28;
Circle 290: x=705, y=665, r=18;
Circle 291: x=316, y=304, r=28;
Circle 292: x=237, y=473, r=15;
Circle 293: x=974, y=132, r=10;
Circle 294: x=252, y=880, r=35;
Circle 295: x=591, y=648, r=47;
Circle 296: x=195, y=817, r=37;
Circle 297: x=491, y=294, r=27;
Circle 298: x=359, y=31, r=10;
Circle 299: x=408, y=206, r=34;
Circle 300: x=757, y=730, r=50;
Circle 301: x=30, y=603, r=22;
Circle 302: x=392, y=398, r=12;
Circle 303: x=541, y=211, r=42;
Circle 304: x=70, y=959, r=22;
Circle 305: x=367, y=708, r=33;
Circle 306: x=729, y=36, r=45;
Circle 307: x=895, y=136, r=9;
Circle 308: x=377, y=359, r=27;
Circle 309: x=268, y=548, r=41;
Circle 310: x=784, y=347, r=47;
Circle 311: x=930, y=421, r=20;
Circle 312: x=475, y=262, r=16;
Circle 313: x=71, y=747, r=46;
Circle 314: x=530, y=10, r=40;
Circle 315: x=539, y=295, r=18;
Circle 316: x=318, y=360, r=13;
Circle 317: x=231, y=497, r=50;
Circle 318: x=437, y=103, r=40;
Circle 319: x=553, y=158, r=10;
Circle 320: x=544, y=920, r=10;
Circle 321: x=587, y=758, r=38;
Circle 322: x=202, y=622, r=47;
Circle 323: x=705, y=413, r=12;
Circle 324: x=785, y=797, r=44;
Circle 325: x=599, y=549, r=29;
Circle 326: x=350, y=585, r=23;
Circle 327: x=8, y=850, r=12;
Circle 328: x=406, y=585, r=45;
Circle 329: x=303, y=703, r=21;
Circle 330: x=531, y=705, r=26;
Circle 331: x=710, y=695, r=16;
Circle 332: x=344, y=908, r=48;
Circle 333: x=724, y=348, r=14;
Circle 334: x=982, y=907, r=26;
Circle 335: x=984, y=427, r=41;
Circle 336: x=686, y=135, r=33;
Circle 337: x=497, y=671, r=28;
Circle 338: x=249, y=93, r=5;
Circle 339: x=967, y=736, r=30;
Circle 340: x=12, y=955, r=18;
Circle 341: x=647, y=835, r=13;
Circle 342: x=165, y=678, r=46;
Circle 343: x=549, y=530, r=38;
Circle 344: x=829, y=759, r=29;
Circle 345: x=949, y=977, r=39;
Circle 346: x=761, y=218, r=33;
Circle 347: x=86, y=649, r=37;
Circle 348: x=197, y=133, r=6;
Circle 349: x=248, y=153, r=19;
Circle 350: x=858, y=909, r=6;
Circle 351: x=4, y=846, r=22;
Circle 352: x=17, y=432, r=38;
Circle 353: x=843, y=701, r=15;
Circle 354: x=201, y=434, r=38;
Circle 355: x=901, y=133, r=36;
Circle 356: x=383, y=744, r=35;
Circle 357: x=951, y=738, r=27;
Circle 358: x=901, y=550, r=33;
Circle 359: x=7, y=359, r=12;
Circle 360: x=162, y=369, r=23;
Circle 361: x=96, y=524, r=47;
Circle 362: x=726, y=747, r=10;
Circle 363: x=630, y=481, r=35;
Circle 364: x=89, y=780, r=28;
Circle 365: x=551, y=954, r=6;
Circle 366: x=689, y=466, r=49;
Circle 367: x=808, y=812, r=33;
Circle 368: x=226, y=501, r=13;
Circle 369: x=286, y=822, r=40;
Circle 370: x=187, y=111, r=15;
Circle 371: x=728, y=893, r=6;
Circle 372: x=82, y=973, r=11;
Circle 373: x=550, y=275, r=8;
Circle 374: x=979, y=489, r=38;
Circle 375: x=164, y=205, r=20;
Circle 376: x=492, y=593, r=10;
Circle 377: x=334, y=598, r=6;
Circle 378: x=804, y=769, r=6;
Circle 379: x=801, y=701, r=47;
Circle 380: x=798, y=166, r=38;
Circle 381: x=303, y=102, r=12;
Circle 382: x=333, y=379, r=22;
Circle 383: x=665, y=448, r=15;
Circle 384: x=751, y=418, r=42;
Circle 385: x=477, y=896, r=20;
Circle 386: x=9, y=713, r=45;
Circle 387: x=988, y=643, r=7;
Circle 388: x=189, y=469, r=20;
Circle 389: x=438, y=840, r=49;
Circle 390: x=538, y=876, r=6;
Circle 391: x=342, y=265, r=16;
Circle 392: x=431, y=12, r=16;
Circle 393: x=819, y=761, r=43;
Circle 394: x=743, y=117, r=15;
Circle 395: x=966, y=524, r=9;
Circle 396: x=50, y=225, r=25;
Circle 397: x=299, y=564, r=49;
Circle 398: x=249, y=574, r=18;
Circle 399: x=598, y=896, r=34;
Circle 400: x=279, y=555, r=19;
Circle 401: x=623, y=971, r=5;
Circle 402: x=175, y=428, r=15;
Circle 403: x=103, y=274, r=8;
Circle 404: x=573, y=141, r=8;
Circle 405: x=686, y=480, r=40;
Circle 406: x=848, y=691, r=47;
Circle 407: x=885, y=493, r=13;
Circle 408: x=269, y=327, r=7;
Circle 409: x=594, y=410, r=34;
Circle 410: x=515, y=15, r=47;
Circle 411: x=628, y=474, r=29;
Circle 412: x=649, y=116, r=48;
Circle 413: x=903, y=980, r=47;
Circle 414: x=622, y=327, r=43;
Circle 415: x=95, y=725, r=15;
Circle 416: x=501, y=812, r=5;
Circle 417: x=570, y=499, r=45;
Circle 418: x=95, y=478, r=39;
Circle 419: x=483, y=716, r=48;
Circle 420: x=123, y=389, r=39;
Circle 421: x=441, y=918, r=28;
Circle 422: x=603, y=1000, r=29;
Circle 423: x=736, y=642, r=10;
Circle 424: x=802, y=742, r=16;
Circle 425: x=627, y=252, r=24;
Circle 426: x=977, y=820, r=6;
Circle 427: x=128, y=164, r=12;
Circle 428: x=791, y=979, r=43;
Circle 429: x=788, y=516, r=29;
Circle 430: x=288, y=554, r=35;
Circle 431: x=36, y=429, r=7;
Circle 432: x=706, y=271, r=49;
Circle 433: x=86, y=284, r=29;
Circle 434: x=873, y=428, r=49;
Circle 435: x=363, y=297, r=21;
Circle 436: x=997, y=671, r=24;
Circle 437: x=215, y=640, r=26;
Circle 438: x=400, y=934, r=41;
Circle 439: x=968, y=814, r=32;
Circle 440: x=681, y=174, r=39;
Circle 441: x=407, y=186, r=50;
Circle 442: x=492, y=573, r=12;
Circle 443: x=419, y=943, r=16;
Circle 444: x=393, y=264, r=8;
Circle 445: x=219, y=457, r=10;
Circle 446: x=527, y=527, r=35;
Circle 447: x=617, y=9, r=6;
Circle 448: x=851, y=885, r=30;
Circle 449: x=692, y=3, r=13;
Circle 450: x=171, y=385, r=32;
Circle 451: x=94, y=63, r=36;
Circle 452: x=350, y=175, r=21;
Circle 453: x=202, y=181, r=23;
Circle 454: x=715, y=590, r=35;
Circle 455: x=308, y=806, r=25;
Circle 456: x=815, y=109, r=18;
Circle 457: x=960, y=128, r=26;
Circle 458: x=292, y=899, r=5;
Circle 459: x=382, y=998, r=24;
Circle 460: x=117, y=535, r=20;
Circle 461: x=300, y=478, r=8;
Circle 462: x=96, y=318, r=25;
Circle 463: x=732, y=768, r=19;
Circle 464: x=222, y=702, r=46;
Circle 465: x=728, y=77, r=8;
Circle 466: x=533, y=697, r=48;
Circle 467: x=583, y=940, r=25;
Circle 468: x=838, y=154, r=38;
Circle 469: x=392, y=985, r=27;
Circle 470: x=300, y=937, r=7;
Circle 471: x=805, y=123, r=43;
Circle 472: x=80, y=719, r=24;
Circle 473: x=547, y=852, r=7;
Circle 474: x=929, y=513, r=15;
Circle 475: x=936, y=801, r=36;
Circle 476: x=772, y=876, r=6;
Circle 477: x=81, y=429, r=41;
Circle 478: x=29, y=47, r=11;
Circle 479: x=825, y=39, r=44;
Circle 480: x=529, y=516, r=5;
Circle 481: x=793, y=356, r=15;
Circle 482: x=879, y=717, r=36;
Circle 483: x=708, y=305, r=43;
Circle 484: x=289, y=647, r=30;
Circle 485: x=267, y=908, r=44;
Circle 486: x=118, y=571, r=47;
Circle 487: x=106, y=682, r=34;
Circle 488: x=961, y=854, r=14;
Circle 489: x=470, y=592, r=25;
Circle 490: x=800, y=125, r=31;
Circle 491: x=90, y=679, r=26;
Circle 492: x=459, y=529, r=40;
Circle 493: x=171, y=888, r=26;
Circle 494: x=150, y=111, r=21;
Circle 495: x=588, y=719, r=39;
Circle 496: x=315, y=925, r=14;
Circle 497: x=948, y=824, r=44;
Circle 498: x=782, y=894, r=16;
Circle 499: x=145, y=316, r=19;
Circle 500: x=272, y=822, r=11;
