Circle 1: x=414, y=627, r=50;
Circle 247: x=953, y=387, r=27;
Circle 248: x=451, y=216, r=18;
Circle 249: x=767, y=541, r=18;
Circle 250: x=28, y=37, r=17;
Circle 251: x=266, y=556, r=5;
Circle 252: x=603, y=534, r=43;
Circle 253: x=389, y=988, r=28;
Circle 254: x=422, y=286, r=13;
Circle 255: x=979, y=230, r=37;
Circle 256: x=332, y=134, r=40;
Circle 257: x=719, y=47, r=23;
Circle 258: x=793, y=972, r=11;
Circle 259: x=265, y=536, r=29;
Circle 260: x=169, y=946, r=46;
Circle 261: x=493, y=843, r=37;
Circle 262: x=302, y=72, r=35;
Circle 263: x=474, y=951, r=25;
Circle 264: x=620, y=294, r=10;
Circle 265: x=778, y=746, r=24;
Circle 266: x=667, y=460, r=30;
Circle 267: x=882, y=686, r=45;
Circle 268: x=402, y=877, r=11;
Circle 269: x=602, y=95, r=26;
Circle 270: x=31, y=905, r=12;
Circle 271: x=911, y=443, r=12;
Circle 272: x=227, y=478, r=10;
Circle 273: x=79, y=988, r=45;
Circle 274: x=713, y=400, r=24;
Circle 275: x=8, y=628, r=45;
Circle 276: x=514, y=867, r=22;
Circle 277: x=10, y=32, r=5;
Circle 278: x=727, y=764, r=13;
Circle 279: x=826, y=886, r=41;
Circle 280: x=164, y=476, r=28;
Circle 281: x=688, y=638, r=38;
Circle 282: x=645, y=17, r=46;
Circle 283: x=99, y=487, r=47;
Circle 284: x=804, y=440, r=27;
Circle 285: x=326, y=922, r=30;
Circle 286: x=68, y=133, r=19;
Circle 287: x=604, y=599, r=46;
Circle 288: x=685, y=455, r=36;
Circle 289: x=220, y=186, r=47;
Circle 290: x=305, y=163, r=29;
Circle 291: x=55, y=528, r=25;
Circle 292: x=973, y=280, r=37;
Circle 293: x=865, y=323, r=6;
Circle 294: x=26, y=758, r=50;
Circle 295: x=964, y=720, r=38;
Circle 296: x=434, y=9, r=12;
Circle 297: x=148, y=829, r=48;
Circle 298: x=834, y=47, r=8;
Circle 299: x=984, y=401, r=38;
Circle 300: x=304, y=732, r=7;
Circle 301: x=196, y=726, r=21;
Circle 302: x=369, y=90, r=20;
Circle 303: x=729, y=98, r=34;
Circle 304: x=337, y=260, r=37;
Circle 305: x=334, y=146, r=49;
Circle 306: x=212, y=278, r=39;
Circle 307: x=536, y=275, r=6;
Circle 308: x=888, y=693, r=20;
Circle 309: x=600, y=851, r=21;
Circle 310: x=779, y=836, r=29;
Circle 311: x=51, y=850, r=22;
Circle 312: x=765, y=55, r=40;
Circle 313: x=508, y=546, r=10;
Circle 314: x=309, y=442, r=45;
Circle 315: x=884, y=542, r=20;
Circle 316: x=201, y=827, r=42;
Circle 317: x=734, y=566, r=48;
Circle 318: x=712, y=451, r=44;
Circle 319: x=811, y=989, r=12;
Circle 320: x=319, y=292, r=7;
Circle 321: x=693, y=575, r=14;
Circle 322: x=852, y=128, r=17;
Circle 323: x=781, y=125, r=5;
Circle 324: x=752, y=523, r=11;
Circle 325: x=673, y=225, r=44;
Circle 326: x=687, y=818, r=7;
Circle 327: x=889, y=418, r=26;
Circle 328: x=11, y=953, r=38;
Circle 329: x=446, y=487, r=31;
Circle 330: x=928, y=778, r=45;
Circle 331: x=423, y=447, r=5;
Circle 332: x=586, y=384, r=18;
Circle 333: x=804, y=436, r=6;
Circle 334: x=320, y=678, r=14;
Circle 335: x=738, y=179, r=48;
Circle 336: x=862, y=615, r=36;
Circle 337: x=178, y=95, r=20;
Circle 338: x=773, y=718, r=17;
Circle 339: x=828, y=474, r=27;
Circle 340: x=737, y=372, r=18;
Circle 341: x=165, y=356, r=30;
Circle 342: x=805, y=557, r=8;
Circle 343: x=600, y=253, r=13;
Circle 344: x=528, y=447, r=21;
Circle 345: x=915, y=13, r=21;
Circle 346: x=832, y=805, r=29;
Circle 347: x=400, y=359, r=8;
Circle 348: x=759, y=946, r=29;
Circle 349: x=462, y=360, r=10;
Circle 350: x=861, y=555, r=30;
Circle 351: x=99, y=645, r=29;
Circle 352: x=135, y=405, r=18;
Circle 353: x=697, y=906, r=48;
Circle 354: x=775, y=84, r=10;
Circle 355: x=530, y=5, r=12;
Circle 356: x=108, y=56, r=26;
Circle 357: x=571, y=104, r=14;
Circle 358: x=799, y=896, r=8;
Circle 359: x=877, y=438, r=32;
Circle 360: x=937, y=654, r=47;
Circle 361: x=411, y=264, r=20;
Circle 362: x=382, y=82, r=45;
Circle 363: x=611, y=87, r=27;
Circle 364: x=995, y=419, r=41;
Circle 365: x=30, y=652, r=42;
Circle 366: x=687, y=166, r=12;
Circle 367: x=2, y=410, r=24;
Circle 368: x=675, y=990, r=39;
Circle 369: x=569, y=372, r=19;
Circle 370: x=784, y=401, r=43;
Circle 371: x=701, y=632, r=10;
Circle 372: x=366, y=414, r=32;
Circle 373: x=988, y=393, r=41;
Circle 374: x=165, y=551, r=17;
Circle 375: x=492, y=601, r=42;
Circle 376: x=689, y=101, r=17;
Circle 377: x=731, y=76, r=47;
Circle 378: x=685, y=545, r=50;
Circle 379: x=844, y=503, r=36;
Circle 380: x=622, y=46, r=45;
Circle 381: x=213, y=772, r=40;
Circle 382: x=864, y=668, r=24;
Circle 383: x=944, y=752, r=27;
Circle 384: x=340, y=695, r=50;
Circle 385: x=486, y=998, r=47;
Circle 386: x=70, y=791, r=31;
Circle 387: x=23, y=622, r=19;
Circle 388: x=737, y=411, r=17;
Circle 389: x=563, y=744, r=40;
Circle 390: x=663, y=807, r=33;
Circle 391: x=833, y=971, r=9;
Circle 392: x=656, y=681, r=14;
Circle 393: x=776, y=495, r=49;
Circle 394: x=626, y=637, r=31;
Circle 395: x=134, y=826, r=38;
Circle 396: x=668, y=275, r=43;
Circle 397: x=541, y=908, r=29;
Circle 398: x=66, y=950, r=6;
Circle 399: x=381, y=785, r=38;
Circle 400: x=250, y=339, r=39;
Circle 401: x=250, y= 339, r=43;
Circle 401: x=250, y= 339, r=45;
Circle 401: x=250, y= 339, r=47;
Circle 401: x=250, y= 339, r=49;
Circle 401: x=250, y= 339, r=52;
Circle 401: x=250, y= 339, r=55;
Circle 401: x=250, y= 339, r=999;
